mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.11599287986755372,0.013237192026965891,0.006041145324707032,0.0002101209111290356,,0.5,1,4,100,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",-7523.7430555555575,-4156.078012566137,-6003.7658479467855,-7160.771467891804,-6244.889252085018,-6217.84952720906,1174.046373925578,15
0.2093299388885498,0.012411015550847317,0.010487031936645509,0.0029188172603625707,,0.5,1,4,200,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200}",-7456.085648148146,-4196.499217923279,-6037.350735563874,-7117.80378613853,-6200.014541296745,-6201.550785814115,1136.712196456593,9
0.5384938240051269,0.037416836825258135,0.02141399383544922,0.0011120696427617618,,0.5,1,4,500,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 500}",-7441.443524531017,-4180.607445105824,-6083.722528554308,-7059.973337161893,-6176.361025998475,-6188.421572270303,1128.901360394749,1
0.10628280639648438,0.009160899645875707,0.0058348655700683595,0.0005054942910006922,,0.5,1,10,100,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-7703.731088323401,-4628.169683248985,-6053.4696895643265,-7991.014002353755,-6252.170554316354,-6525.711003561364,1219.2902440915689,83
0.2388965129852295,0.03194377455202493,0.013963460922241211,0.0041977369638910595,,0.5,1,10,200,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-7746.996130945349,-4666.730514008592,-6139.954015348199,-7923.16191142269,-6296.499606773988,-6554.668435699763,1191.416679149817,107
0.5127630233764648,0.029156221918425162,0.02052316665649414,0.0009026221548743582,,0.5,1,10,500,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",-7718.888159208395,-4579.8572030416135,-6152.401798199923,-7891.07697693122,-6449.312005157697,-6558.30722850777,1201.1766713812087,113
0.10468873977661133,0.005777175592408845,0.0055296897888183595,0.0006385451780581676,,0.5,1,20,100,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 100}",-7906.561631326684,-5136.8462462497255,-6883.867907072952,-8898.583049046596,-6467.057304347816,-7058.583227608755,1278.918926492672,209
0.19882674217224122,0.007609487882339454,0.008965396881103515,0.0006007499811215322,,0.5,1,20,200,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 200}",-7950.767272556209,-5048.569221601691,-6751.677598671176,-8633.363668658027,-6497.775212022154,-6976.430594701853,1240.2446155389487,201
0.4679739475250244,0.007449781875522467,0.019274091720581053,0.0009521913633390543,,0.5,1,20,500,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 500}",-7937.651924048499,-4960.738286769236,-6802.088031493416,-8629.288128245531,-6534.106709678131,-6972.774616046963,1260.5458236931083,185
0.10563621520996094,0.004700200939118442,0.005757522583007812,0.0008661701289948165,,0.5,2,4,100,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 100}",-7413.356415099061,-4584.560483953683,-6192.374660508983,-7519.798589287368,-5900.797007653366,-6322.177431300492,1080.6193491869867,43
0.20901908874511718,0.0071825218912069,0.009348392486572266,0.0004981452544004033,,0.5,2,4,200,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",-7251.979056797753,-4519.658275318986,-6071.548900743051,-7500.008239148546,-5887.426118766137,-6246.124118154894,1069.9340740672992,33
0.5003439903259277,0.02614330337864804,0.02114524841308594,0.0010474607257956834,,0.5,2,4,500,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",-7337.532712185187,-4438.9991890093315,-6124.05296557191,-7417.5466951653625,-5874.777140047336,-6238.581740395825,1093.7659338015271,27
0.09896955490112305,0.005469742072484395,0.005051326751708984,7.695794244946134e-05,,0.5,2,10,100,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-7469.251634548942,-4599.525905185084,-6373.200303813147,-7943.093157127766,-6051.116572565752,-6487.237514648138,1170.515140056186,59
0.20000853538513183,0.009755960284416434,0.009424161911010743,0.0014323901270088537,,0.5,2,10,200,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-7485.792142206284,-4704.851849544002,-6319.650585771601,-7838.543394282775,-6149.9942608184965,-6499.766446524633,1108.2482667738022,67
0.48479208946228025,0.011604829257663625,0.020467376708984374,0.0012840984000844996,,0.5,2,10,500,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",-7436.225565442551,-4626.419136628245,-6307.5004111485505,-7879.908733675133,-6163.651924094811,-6482.741154197858,1134.8716628178688,51
